V1,V2,weight
1062,93,0.9
1062,43,0.97
553,768,0.77
1446,39,0.98
1446,1549,0.64
1446,1723,0.98
542,894,0.97
542,1229,0.93
708,1117,0.94
1010,733,0.98
1010,1322,0.64
1010,588,0.78
1010,689,0.75
1010,827,0.65
245,423,0.65
1172,405,0.44
1172,1317,0.85
1172,477,0.89
1047,111,0.69
878,1639,0.59
878,612,0.94
556,1322,0.38
556,319,0.57
1649,245,0.89
70,178,0.85
70,935,0.98
421,1200,0.97
421,319,0.75
421,1658,0.75
421,934,0.9
421,1562,0.74
421,1458,0.69
601,733,0.83
976,558,0.98
976,8,0.98
976,1224,0.98
976,537,0.91
976,45,0.98
976,611,0.88
458,382,0.8
458,319,1.0
458,46,0.84
1368,748,0.88
1368,694,0.64
1368,1776,0.99
1592,319,0.39
1592,830,0.8
857,319,0.49
857,11,0.99
1756,886,0.84
1756,300,0.92
1756,1696,0.65
1756,859,0.79
1756,1454,0.97
1170,1744,0.92
62,588,0.8
62,1749,0.47
1754,1290,0.84
1754,1663,0.64
1754,961,0.86
437,46,0.98
437,733,0.98
120,1302,0.57
120,886,0.79
120,229,0.93
120,300,0.87
120,965,0.86
1408,1567,1.0
1725,84,0.63
1725,1063,0.62
1725,224,0.5
880,883,0.87
880,1704,0.88
915,245,0.98
915,589,1.0
1448,302,0.99
1448,296,0.9
1448,112,0.99
1448,937,0.91
887,156,0.9
434,84,0.69
434,704,0.66
618,588,0.78
180,23,0.94
1075,437,0.98
899,886,0.75
1085,694,0.91
1085,937,0.97
1085,629,0.98
1085,1129,0.98
902,879,0.87
902,43,0.88
902,623,0.86
902,80,0.93
592,1209,0.96
742,733,0.72
1773,1528,0.93
1773,1739,0.93
373,767,0.62
373,748,0.82
1281,1654,0.98
1281,812,0.88
195,733,0.91
195,595,0.93
195,1322,0.74
195,710,0.85
1054,767,0.93
1054,423,0.93
1054,900,0.94
785,84,0.89
785,99,0.81
785,423,0.74
785,46,0.83
785,1164,0.6
1362,59,0.93
1362,573,0.92
1702,1401,0.94
1603,1611,0.84
1670,1164,0.4
427,168,0.68
427,938,0.69
909,733,0.99
909,1145,0.99
909,1143,0.99
909,235,0.88
1216,253,0.96
1216,155,0.78
1216,709,0.71
1216,1164,0.6
1216,1302,0.64
932,1308,0.78
168,938,0.99
168,1039,0.92
1086,173,0.89
1678,1164,0.31
1678,1003,0.49
961,1639,0.58
961,253,0.88
961,886,0.79
961,286,0.94
961,1216,0.93
961,46,0.76
961,1746,0.93
961,1720,0.67
961,1754,0.86
961,319,0.6
961,1414,0.94
961,1565,0.91
961,1455,0.93
961,371,0.91
1393,1443,0.99
654,830,0.98
654,1117,0.68
654,426,0.96
840,1166,0.66
1200,1469,0.64
1200,827,0.69
1762,1316,0.79
1510,1322,0.4
1510,1509,0.98
1510,886,0.78
1142,709,0.85
1195,1322,0.84
43,46,0.83
43,1164,0.6
43,1062,0.97
1180,93,0.93
1180,629,0.95
1392,998,0.79
1392,15,0.93
109,1316,0.99
109,1101,0.98
109,453,0.98
109,785,0.99
109,683,0.98
109,1130,0.97
109,274,0.98
109,1316,0.99
109,1150,0.9
1325,561,0.58
1325,1013,0.75
990,423,0.88
990,1003,0.93
990,1322,0.64
990,1200,0.96
241,755,0.83
241,240,0.96
1003,977,0.89
1003,1190,0.98
1003,423,0.95
1003,869,0.69
1003,1356,0.6
1003,43,0.79
1003,1678,0.49
1642,1420,0.96
27,378,0.57
1190,977,0.91
1190,1268,0.95
1190,224,1.0
1190,694,0.85
15,611,0.83
486,537,0.93
486,595,0.71
486,1302,0.54
486,1375,0.99
486,588,0.53
486,1618,0.88
239,240,0.92
59,1322,0.5
59,1200,0.9
